workload_id,operator,source_stage,shape_args,pytorchsim_cycles,flood_mac_cycles,flood_system_cycles,mac_speedup_vs_pytorchsim,system_speedup_vs_pytorchsim,latency_us_330mhz,system_latency_us_330mhz,confidence_grade,value_check_status,paper_use_policy,paper_use_reason,model_scope
conv_006_op_00018,conv,down_blocks.0.downsamplers.0.conv,1 32 32 64 64 3 2 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_007_op_00019,conv,down_blocks.1.resnets.0.conv1,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_014_op_00020,gemm,down_blocks.1.resnets.0.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_008_op_00021,conv,down_blocks.1.resnets.0.conv2,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_009_op_00022,conv,mid_block.resnets.0.conv1,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_015_op_00023,gemm,mid_block.resnets.0.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_010_op_00024,conv,mid_block.resnets.0.conv2,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_011_op_00025,conv,mid_block.attentions.0.proj_in,1 16 16 64 64 1 1 0,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_016_op_00026,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,256 64 64,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_017_op_00027,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,256 64 64,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_018_op_00028,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,256 64 64,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_019_op_00029,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,256 64 64,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_020_op_00030,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,256 64 64,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_021_op_00031,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,77 768 64,,6375,24586,,,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_022_op_00032,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,77 768 64,,6375,24586,,,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_023_op_00033,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,256 64 64,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_024_op_00034,gemm,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,256 64 512,,2010,30993,,,6.090909,93.918182,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_025_op_00035,gemm,mid_block.attentions.0.transformer_blocks.0.ff.net.2,256 256 64,,6832,22649,,,20.70303,68.633333,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_012_op_00036,conv,mid_block.attentions.0.proj_out,1 16 16 64 64 1 1 0,,1744,7687,,,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_013_op_00037,conv,mid_block.resnets.1.conv1,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_026_op_00038,gemm,mid_block.resnets.1.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_014_op_00039,conv,mid_block.resnets.1.conv2,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_015_op_00040,conv,up_blocks.0.resnets.0.conv1,1 16 16 128 64 3 1 1,,189552,251449,,,574.4,761.966667,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_027_op_00041,gemm,up_blocks.0.resnets.0.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_016_op_00042,conv,up_blocks.0.resnets.0.conv2,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_017_op_00043,conv,up_blocks.0.resnets.0.conv_shortcut,1 16 16 128 64 1 1 0,,3440,12675,,,10.424242,38.409091,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_018_op_00044,conv,up_blocks.0.resnets.1.conv1,1 16 16 128 64 3 1 1,,189552,251449,,,574.4,761.966667,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_028_op_00045,gemm,up_blocks.0.resnets.1.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_019_op_00046,conv,up_blocks.0.resnets.1.conv2,1 16 16 64 64 3 1 1,,94800,127075,,,287.272727,385.075758,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_020_op_00047,conv,up_blocks.0.resnets.1.conv_shortcut,1 16 16 128 64 1 1 0,,3440,12675,,,10.424242,38.409091,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_021_op_00048,conv,up_blocks.0.upsamplers.0.conv,1 32 32 64 64 3 1 1,,379200,490469,,,1149.090909,1486.269697,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_022_op_00049,conv,up_blocks.1.resnets.0.conv1,1 32 32 128 64 3 1 1,,758208,970195,,,2297.6,2939.984848,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_029_op_00050,gemm,up_blocks.1.resnets.0.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_023_op_00051,conv,up_blocks.1.resnets.0.conv2,1 32 32 64 64 3 1 1,,379200,490469,,,1149.090909,1486.269697,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_024_op_00052,conv,up_blocks.1.resnets.0.conv_shortcut,1 32 32 128 64 1 1 0,,13760,46693,,,41.69697,141.493939,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_025_op_00053,conv,up_blocks.1.attentions.0.proj_in,1 32 32 64 64 1 1 0,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_030_op_00054,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_031_op_00055,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_032_op_00056,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_033_op_00057,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_034_op_00058,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_035_op_00059,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,77 768 64,,6375,24586,,,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_036_op_00060,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,77 768 64,,6375,24586,,,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_037_op_00061,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,1024 64 64,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_038_op_00062,gemm,up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,1024 64 512,,7242,107321,,,21.945455,325.215152,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_039_op_00063,gemm,up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,1024 256 64,,27328,82643,,,82.812121,250.433333,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_026_op_00064,conv,up_blocks.1.attentions.0.proj_out,1 32 32 64 64 1 1 0,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_027_op_00065,conv,up_blocks.1.resnets.1.conv1,1 32 32 128 64 3 1 1,,758208,970195,,,2297.6,2939.984848,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
gemm_040_op_00066,gemm,up_blocks.1.resnets.1.time_emb_proj,1 256 64,,427,3130,,,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_028_op_00067,conv,up_blocks.1.resnets.1.conv2,1 32 32 64 64 3 1 1,,379200,490469,,,1149.090909,1486.269697,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_029_op_00068,conv,up_blocks.1.resnets.1.conv_shortcut,1 32 32 128 64 1 1 0,,13760,46693,,,41.69697,141.493939,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_030_op_00069,conv,up_blocks.1.attentions.1.proj_in,1 32 32 64 64 1 1 0,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_031_op_00080,conv,up_blocks.1.attentions.1.proj_out,1 32 32 64 64 1 1 0,,6976,28719,,,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
conv_032_op_00081,conv,conv_out,1 32 32 64 4 3 1 1,,209856,305697,,,635.927273,926.354545,C_projection_large_k3_extent_unvalidated,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled
