workload_id,config_cycles,activation_load_cycles,weight_load_cycles,compute_cycles,output_store_cycles,system_total_cycles,memory_dma_cycles,compute_ratio,memory_ratio,confidence_grade,system_model_status,paper_use_policy,paper_use_reason,base_cycle_policy
conv_007_op_00019,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_014_op_00020,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_008_op_00021,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_009_op_00022,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_015_op_00023,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_010_op_00024,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_011_op_00025,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_016_op_00026,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_017_op_00027,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_018_op_00028,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_019_op_00029,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_020_op_00030,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_021_op_00031,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_022_op_00032,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_023_op_00033,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_024_op_00034,3,2638,5272,2010,21070,30993,28980,0.064853,0.93505,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_025_op_00035,3,10538,2638,6832,2638,22649,15814,0.301647,0.698221,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_012_op_00036,3,2638,664,1744,2638,7687,5940,0.226877,0.772733,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_013_op_00037,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_026_op_00038,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_014_op_00039,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_015_op_00040,3,47402,11854,189552,2638,251449,61894,0.753839,0.246149,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_027_op_00041,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_016_op_00042,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_017_op_00043,3,5272,1322,3440,2638,12675,9232,0.2714,0.728363,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_018_op_00044,3,47402,11854,189552,2638,251449,61894,0.753839,0.246149,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_028_op_00045,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_019_op_00046,3,23704,5930,94800,2638,127075,32272,0.746016,0.25396,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_020_op_00047,3,5272,1322,3440,2638,12675,9232,0.2714,0.728363,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_021_op_00048,3,94798,5930,379200,10538,490469,111266,0.773138,0.226856,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_022_op_00049,3,189592,11854,758208,10538,970195,211984,0.781501,0.218496,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_029_op_00050,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_023_op_00051,3,94798,5930,379200,10538,490469,111266,0.773138,0.226856,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_024_op_00052,3,21070,1322,13760,10538,46693,32930,0.294691,0.705245,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_025_op_00053,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_030_op_00054,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_031_op_00055,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_032_op_00056,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_033_op_00057,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_034_op_00058,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_035_op_00059,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_036_op_00060,3,9508,7904,6375,796,24586,18208,0.259294,0.740584,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_037_op_00061,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_038_op_00062,3,10538,5272,7242,84266,107321,100076,0.06748,0.932492,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
gemm_039_op_00063,3,42136,2638,27328,10538,82643,55312,0.330675,0.669288,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_026_op_00064,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
conv_027_op_00065,3,189592,11854,758208,10538,970195,211984,0.781501,0.218496,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
gemm_040_op_00066,3,46,2638,427,16,3130,2700,0.136422,0.86262,C_projection_small_extent_not_directly_run,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_028_op_00067,3,94798,5930,379200,10538,490469,111266,0.773138,0.226856,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
conv_029_op_00068,3,21070,1322,13760,10538,46693,32930,0.294691,0.705245,D_observed_multicin_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known multi-Cin spatial boundary; do not use as clean paper data
conv_030_op_00069,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
conv_031_op_00080,3,10538,664,6976,10538,28719,21740,0.242905,0.75699,D_observed_large_spatial_x_boundary,unvalidated_system_projection,exclude_from_main_performance_tables,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,known large-spatial boundary; do not use as clean paper data
conv_032_op_00081,3,94798,376,209856,664,305697,95838,0.686484,0.313507,C_projection_large_k3_extent_unvalidated,unvalidated_system_projection,appendix_projection_only,system intervals are not direct full-chip RTL-clean evidence; use as diagnostic unless calibrated,calibrated projection without exact direct RTL-clean workload evidence
