id,source_stage,operator,shape_args,pytorchsim_cycles,sim_status,k,cout,cin_idx_total,spatial_points,total_cycles,latency_us_330mhz,confidence_grade,confidence_note,interval_count,mac_total_cycles,speedup_vs_pytorchsim_cycles,model_scope,activation_bytes,weight_bytes,output_bytes,config_cycles,activation_dma_cycles,weight_dma_cycles,output_dma_cycles,system_total_cycles,system_latency_us_330mhz,system_model_status,system_model_note,system_speedup_vs_pytorchsim_cycles
gemm_007_op_00010,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_008_op_00011,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_009_op_00012,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,,ok,1,2,24,5,6375,19.318182,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,120,6375,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,59136,49152,4928,3,9508,7904,796,24586,74.50303,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_010_op_00013,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,gemm,77 768 64,,ok,1,2,24,5,6375,19.318182,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,120,6375,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,59136,49152,4928,3,9508,7904,796,24586,74.50303,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_011_op_00014,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_012_op_00015,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,,ok,1,16,2,64,7242,21.945455,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,7242,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,32768,524288,3,10538,5272,84266,107321,325.215152,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_013_op_00016,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,,ok,1,2,8,64,27328,82.812121,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,512,27328,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,262144,16384,65536,3,42136,2638,10538,82643,250.433333,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_005_op_00017,down_blocks.0.attentions.0.proj_out,conv,1 32 32 64 64 1 1 0,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_006_op_00018,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_007_op_00019,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_014_op_00020,down_blocks.1.resnets.0.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_008_op_00021,down_blocks.1.resnets.0.conv2,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_009_op_00022,mid_block.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_015_op_00023,mid_block.resnets.0.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_010_op_00024,mid_block.resnets.0.conv2,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_011_op_00025,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_016_op_00026,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_017_op_00027,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,gemm,256 64 64,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_018_op_00028,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,gemm,256 64 64,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_019_op_00029,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,gemm,256 64 64,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_020_op_00030,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,gemm,256 64 64,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_021_op_00031,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,,ok,1,2,24,5,6375,19.318182,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,120,6375,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,59136,49152,4928,3,9508,7904,796,24586,74.50303,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_022_op_00032,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,gemm,77 768 64,,ok,1,2,24,5,6375,19.318182,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,120,6375,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,59136,49152,4928,3,9508,7904,796,24586,74.50303,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_023_op_00033,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,gemm,256 64 64,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_024_op_00034,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,,ok,1,16,2,16,2010,6.090909,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,2010,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,32768,131072,3,2638,5272,21070,30993,93.918182,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_025_op_00035,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,,ok,1,2,8,16,6832,20.70303,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,128,6832,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,16384,16384,3,10538,2638,2638,22649,68.633333,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_012_op_00036,mid_block.attentions.0.proj_out,conv,1 16 16 64 64 1 1 0,,ok,1,2,2,16,1744,5.284848,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,32,1744,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,16384,4096,16384,3,2638,664,2638,7687,23.293939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_013_op_00037,mid_block.resnets.1.conv1,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_026_op_00038,mid_block.resnets.1.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_014_op_00039,mid_block.resnets.1.conv2,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_015_op_00040,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,,ok,3,2,36,16,189552,574.4,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,576,189552,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,294912,73728,16384,3,47402,11854,2638,251449,761.966667,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_027_op_00041,up_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_016_op_00042,up_blocks.0.resnets.0.conv2,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_017_op_00043,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,,ok,1,2,4,16,3440,10.424242,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,64,3440,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,32768,8192,16384,3,5272,1322,2638,12675,38.409091,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_018_op_00044,up_blocks.0.resnets.1.conv1,conv,1 16 16 128 64 3 1 1,,ok,3,2,36,16,189552,574.4,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,576,189552,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,294912,73728,16384,3,47402,11854,2638,251449,761.966667,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_028_op_00045,up_blocks.0.resnets.1.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_019_op_00046,up_blocks.0.resnets.1.conv2,conv,1 16 16 64 64 3 1 1,,ok,3,2,18,16,94800,287.272727,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,288,94800,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,147456,36864,16384,3,23704,5930,2638,127075,385.075758,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_020_op_00047,up_blocks.0.resnets.1.conv_shortcut,conv,1 16 16 128 64 1 1 0,,ok,1,2,4,16,3440,10.424242,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,64,3440,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,32768,8192,16384,3,5272,1322,2638,12675,38.409091,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_021_op_00048,up_blocks.0.upsamplers.0.conv,conv,1 32 32 64 64 3 1 1,,ok,3,2,18,64,379200,1149.090909,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,1152,379200,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,589824,36864,65536,3,94798,5930,10538,490469,1486.269697,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_022_op_00049,up_blocks.1.resnets.0.conv1,conv,1 32 32 128 64 3 1 1,,ok,3,2,36,64,758208,2297.6,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,2304,758208,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,1179648,73728,65536,3,189592,11854,10538,970195,2939.984848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_029_op_00050,up_blocks.1.resnets.0.time_emb_proj,gemm,1 256 64,,ok,1,2,8,1,427,1.293939,C_projection_small_extent_not_directly_run,cycle intervals use calibrated rules but this exact row was not RTL-run,8,427,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,256,16384,64,3,46,2638,16,3130,9.484848,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_023_op_00051,up_blocks.1.resnets.0.conv2,conv,1 32 32 64 64 3 1 1,,ok,3,2,18,64,379200,1149.090909,C_projection_large_k3_extent_unvalidated,large k3 extent exceeds direct RTL-clean holdout range,1152,379200,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,589824,36864,65536,3,94798,5930,10538,490469,1486.269697,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_024_op_00052,up_blocks.1.resnets.0.conv_shortcut,conv,1 32 32 128 64 1 1 0,,ok,1,2,4,64,13760,41.69697,D_observed_multicin_spatial_x_boundary,known multi-Cin spatial boundary; do not use as clean paper data,256,13760,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,131072,8192,65536,3,21070,1322,10538,46693,141.493939,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
conv_025_op_00053,up_blocks.1.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_030_op_00054,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
gemm_031_op_00055,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,gemm,1024 64 64,,ok,1,2,2,64,6976,21.139394,D_observed_large_spatial_x_boundary,known large-spatial boundary; do not use as clean paper data,128,6976,,Base FLOOD MAC path; no softmax/sparsity/zero-skip innovation modeled,65536,4096,65536,3,10538,664,10538,28719,87.027273,unvalidated_system_projection,"Includes CPU config and DMA/SRAM transfer intervals from visible RTL widths, but not direct full-chip RTL-clean evidence.",
