workload_id,operator,shape_args,predicted_config_cycles,measured_config_cycles,predicted_activation_dma_cycles,measured_activation_dma_cycles,predicted_weight_dma_cycles,measured_weight_dma_cycles,predicted_mac_cycles,measured_mac_cycles,predicted_output_dma_cycles,measured_output_dma_cycles,predicted_system_total_cycles,measured_system_total_cycles,rtl_status,notes
gemm_012_op_00015,gemm,1024 64 512,3,,10538,,5272,,7242,,84266,,107321,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_013_op_00016,gemm,1024 256 64,3,,42136,,2638,,27328,,10538,,82643,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_005_op_00017,conv,1 32 32 64 64 1 1 0,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_006_op_00018,conv,1 32 32 64 64 3 2 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_007_op_00019,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_014_op_00020,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_008_op_00021,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_009_op_00022,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_015_op_00023,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_010_op_00024,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_011_op_00025,conv,1 16 16 64 64 1 1 0,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_016_op_00026,gemm,256 64 64,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_017_op_00027,gemm,256 64 64,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_018_op_00028,gemm,256 64 64,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_019_op_00029,gemm,256 64 64,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_020_op_00030,gemm,256 64 64,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_021_op_00031,gemm,77 768 64,3,,9508,,7904,,6375,,796,,24586,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_022_op_00032,gemm,77 768 64,3,,9508,,7904,,6375,,796,,24586,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_023_op_00033,gemm,256 64 64,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_024_op_00034,gemm,256 64 512,3,,2638,,5272,,2010,,21070,,30993,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_025_op_00035,gemm,256 256 64,3,,10538,,2638,,6832,,2638,,22649,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_012_op_00036,conv,1 16 16 64 64 1 1 0,3,,2638,,664,,1744,,2638,,7687,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_013_op_00037,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_026_op_00038,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_014_op_00039,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_015_op_00040,conv,1 16 16 128 64 3 1 1,3,,47402,,11854,,189552,,2638,,251449,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_027_op_00041,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_016_op_00042,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_017_op_00043,conv,1 16 16 128 64 1 1 0,3,,5272,,1322,,3440,,2638,,12675,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_018_op_00044,conv,1 16 16 128 64 3 1 1,3,,47402,,11854,,189552,,2638,,251449,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_028_op_00045,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_019_op_00046,conv,1 16 16 64 64 3 1 1,3,,23704,,5930,,94800,,2638,,127075,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_020_op_00047,conv,1 16 16 128 64 1 1 0,3,,5272,,1322,,3440,,2638,,12675,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_021_op_00048,conv,1 32 32 64 64 3 1 1,3,,94798,,5930,,379200,,10538,,490469,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_022_op_00049,conv,1 32 32 128 64 3 1 1,3,,189592,,11854,,758208,,10538,,970195,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_029_op_00050,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_023_op_00051,conv,1 32 32 64 64 3 1 1,3,,94798,,5930,,379200,,10538,,490469,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_024_op_00052,conv,1 32 32 128 64 1 1 0,3,,21070,,1322,,13760,,10538,,46693,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_025_op_00053,conv,1 32 32 64 64 1 1 0,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_030_op_00054,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_031_op_00055,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_032_op_00056,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_033_op_00057,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_034_op_00058,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_035_op_00059,gemm,77 768 64,3,,9508,,7904,,6375,,796,,24586,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_036_op_00060,gemm,77 768 64,3,,9508,,7904,,6375,,796,,24586,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_037_op_00061,gemm,1024 64 64,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_038_op_00062,gemm,1024 64 512,3,,10538,,5272,,7242,,84266,,107321,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_039_op_00063,gemm,1024 256 64,3,,42136,,2638,,27328,,10538,,82643,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_026_op_00064,conv,1 32 32 64 64 1 1 0,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_027_op_00065,conv,1 32 32 128 64 3 1 1,3,,189592,,11854,,758208,,10538,,970195,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
gemm_040_op_00066,gemm,1 256 64,3,,46,,2638,,427,,16,,3130,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_028_op_00067,conv,1 32 32 64 64 3 1 1,3,,94798,,5930,,379200,,10538,,490469,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_029_op_00068,conv,1 32 32 128 64 1 1 0,3,,21070,,1322,,13760,,10538,,46693,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_030_op_00069,conv,1 32 32 64 64 1 1 0,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_031_op_00080,conv,1 32 32 64 64 1 1 0,3,,10538,,664,,6976,,10538,,28719,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
conv_032_op_00081,conv,1 32 32 64 4 3 1 1,3,,94798,,376,,209856,,664,,305697,,,"Fill measured_* fields from full-chip RTL/testbench logs, then run --system-calibration on this CSV."
