model,layer_or_workload,operator,config,activation_sparsity,weight_sparsity,skipped_mac_percent,useful_macs,baseline_cycles,projected_sparse_cycles,cycle_reduction_percent,energy_reduction_percent,utilization_note,data_source,readiness,missing_reason
SD VAE,vae_dec_conv_64_256_128,conv,zero skipping 25% act,0.25,0.0,25.0,1207959552.0,11483904.0,8612928.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD VAE,vae_dec_conv_64_256_128,conv,zero skipping 50% act,0.5,0.0,50.0,1207959552.0,11483904.0,5741952.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD VAE,vae_dec_conv_64_256_128,conv,zero skipping 25% act + 25% wt,0.25,0.25,43.75,1207959552.0,11483904.0,6459696.0,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD VAE,vae_dec_conv_64_256_128,conv,+ adder pruning proxy,0.5,0.0,60.0,1207959552.0,11483904.0,4593561.6,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD VAE,vae_dec_conv_64_256_128,conv,+ GCSE group sparsity proxy,0.5,0.25,82.5,1207959552.0,11483904.0,2009683.2,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_qkv_256_768_768,gemm,no skipping,0.0,0.0,0.0,150994944.0,20818.0,20818.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_qkv_256_768_768,gemm,zero skipping 25% act,0.25,0.0,25.0,150994944.0,20818.0,15613.5,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_qkv_256_768_768,gemm,zero skipping 50% act,0.5,0.0,50.0,150994944.0,20818.0,10409.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_qkv_256_768_768,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,150994944.0,20818.0,11710.125,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_qkv_256_768_768,gemm,+ adder pruning proxy,0.5,0.0,60.0,150994944.0,20818.0,8327.2,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_qkv_256_768_768,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,150994944.0,20818.0,3643.15,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_mlp_256_768_3072,gemm,no skipping,0.0,0.0,0.0,603979776.0,22186.0,22186.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_mlp_256_768_3072,gemm,zero skipping 25% act,0.25,0.0,25.0,603979776.0,22186.0,16639.5,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_mlp_256_768_3072,gemm,zero skipping 50% act,0.5,0.0,50.0,603979776.0,22186.0,11093.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_mlp_256_768_3072,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,603979776.0,22186.0,12479.625,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_mlp_256_768_3072,gemm,+ adder pruning proxy,0.5,0.0,60.0,603979776.0,22186.0,8874.4,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
DiT / attention proxy,dit_mlp_256_768_3072,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,603979776.0,22186.0,3882.55,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_multicin_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,no skipping,0.0,0.0,0.0,16384.0,223.0,223.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,zero skipping 25% act,0.25,0.0,25.0,16384.0,223.0,167.25,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,zero skipping 50% act,0.5,0.0,50.0,16384.0,223.0,111.5,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,16384.0,223.0,125.4375,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,+ adder pruning proxy,0.5,0.0,60.0,16384.0,223.0,89.2,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_001,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,16384.0,223.0,39.025,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,no skipping,0.0,0.0,0.0,65536.0,541.0,541.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,zero skipping 25% act,0.25,0.0,25.0,65536.0,541.0,405.75,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,zero skipping 50% act,0.5,0.0,50.0,65536.0,541.0,270.5,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,65536.0,541.0,304.3125,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,+ adder pruning proxy,0.5,0.0,60.0,65536.0,541.0,216.4,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_002,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,65536.0,541.0,94.675,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_003,conv,no skipping,0.0,0.0,0.0,2359296.0,42304.0,42304.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_003,conv,zero skipping 25% act,0.25,0.0,25.0,2359296.0,42304.0,31728.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_003,conv,zero skipping 50% act,0.5,0.0,50.0,2359296.0,42304.0,21152.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_003,conv,zero skipping 25% act + 25% wt,0.25,0.25,43.75,2359296.0,42304.0,23796.0,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_003,conv,+ adder pruning proxy,0.5,0.0,60.0,2359296.0,42304.0,16921.6,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_003,conv,+ GCSE group sparsity proxy,0.5,0.25,82.5,2359296.0,42304.0,7403.2,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_004,conv,no skipping,0.0,0.0,0.0,37748736.0,379200.0,379200.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_004,conv,zero skipping 25% act,0.25,0.0,25.0,37748736.0,379200.0,284400.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_004,conv,zero skipping 50% act,0.5,0.0,50.0,37748736.0,379200.0,189600.0,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_004,conv,zero skipping 25% act + 25% wt,0.25,0.25,43.75,37748736.0,379200.0,213300.0,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_004,conv,+ adder pruning proxy,0.5,0.0,60.0,37748736.0,379200.0,151680.0,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_004,conv,+ GCSE group sparsity proxy,0.5,0.25,82.5,37748736.0,379200.0,66360.0,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,C_projection_large_k3_extent_unvalidated,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,no skipping,0.0,0.0,0.0,16384.0,427.0,427.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,zero skipping 25% act,0.25,0.0,25.0,16384.0,427.0,320.25,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,zero skipping 50% act,0.5,0.0,50.0,16384.0,427.0,213.5,50.0,50.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,zero skipping 25% act + 25% wt,0.25,0.25,43.75,16384.0,427.0,240.1875,43.75,43.75,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,+ adder pruning proxy,0.5,0.0,60.0,16384.0,427.0,170.8,60.0,60.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_gemm_005,gemm,+ GCSE group sparsity proxy,0.5,0.25,82.5,16384.0,427.0,74.725,82.5,82.5,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,B_direct_rtl_clean_workload_row,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_006,conv,no skipping,0.0,0.0,0.0,4194304.0,6976.0,6976.0,0.0,0.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_large_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
SD UNet / synthetic UNet trace,trace_conv_006,conv,zero skipping 25% act,0.25,0.0,25.0,4194304.0,6976.0,5232.0,25.0,25.0,proxy assumes skipped MACs translate linearly to cycle/energy reduction,synthetic sparsity proxy from workload MAC/cycle table,D_observed_large_spatial_x_boundary,replace proxy sparsity with measured activation/weight sparsity for final paper values
