id,workload,stage,operator,shape_args,shape_desc,reason,max_expected_runtime_s,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status
trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_011.log,1,2745,2745,2.9202127659574466,4.80463,223.37,41.97,1.46,1274,18336,2048,ok
trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_012.log,1,2292,2292,2.4382978723404256,4.002531,178.42,50.260000000000005,1.75,875,11547,2048,ok
trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_013.log,1,999,999,1.0627659574468085,3.440178,156.09,12.81,4.8,324,3072,2112,ok
trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_014.log,1,940,940,1.0,4.608492,147.46,13.62,4.26,288,2560,2048,ok
trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_015.log,1,2131,2131,2.2670212765957447,6.087452,346.9,24.03,6.76,1536,8192,16384,ok
trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,Linear is mapped to GEMM M K N.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_016.log,1,1513,1513,1.6095744680851063,5.852205,249.39,16.92,3.57,784,10496,2048,ok
trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_017.log,1,2877,2877,3.0606382978723405,4.359859,262.3,40.04,1.18,1568,23040,2048,ok
trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_018.log,1,1120,1120,1.1914893617021276,3.478541,192.51,11.43,3.04,448,5120,2048,ok
trace_conv_019,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv1,conv,1 32 32 128 64 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_019.log,1,8001,8001,8.511702127659575,5.779859,307.98,57.59,2.02,5120,73728,8192,ok
trace_conv_020,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv_shortcut,conv,1 32 32 128 64 1 1 0,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_020.log,1,2206,2206,2.3468085106382977,4.267188,363.03,23.21,6.98,1664,18432,8192,ok
trace_conv_021,Synthetic_UNet2DCondition_trace,conv_out,conv,1 32 32 64 4 3 1 1,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,unique shape traced from synthetic UNet forward,300,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_021.log,1,6246,6246,6.64468085106383,5.059508,133.7,73.78,2.37,1783,26739,1024,ok
