id,workload,stage,operator,shape_args,baseline_cycles,baseline_latency_us,estimated_flood_cycles,estimated_flood_latency_us,estimated_speedup,compute_speedup_assumption,metadata_cycles,outlier_cycles,switch_cycles,note
trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,2745,2.9202127659574466,2281,2.426595744680851,1.2034195528277072,1.15,82.35,54.9,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,2292,2.4382978723404256,1906,2.027659574468085,1.2025183630640084,1.15,68.76,45.84,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,999,1.0627659574468085,836,0.8893617021276595,1.194976076555024,1.15,29.97,19.98,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,940,1.0,753,0.801063829787234,1.248339973439575,1.2,18.8,23.5,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,2131,2.2670212765957447,1694,1.8021276595744682,1.2579693034238488,1.2,42.62,53.28,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,1513,1.6095744680851063,1206,1.2829787234042553,1.2545605306799337,1.2,30.26,37.83,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,2877,3.0606382978723405,2391,2.543617021276596,1.2032622333751568,1.15,86.31,57.54,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,1120,1.1914893617021276,936,0.9957446808510638,1.1965811965811965,1.15,33.6,22.4,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_019,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv1,conv,1 32 32 128 64 3 1 1,8001,8.511702127659575,6631,7.054255319148936,1.206605338561303,1.15,240.03,160.02,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_020,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv_shortcut,conv,1 32 32 128 64 1 1 0,2206,2.3468085106382977,1835,1.952127659574468,1.2021798365122616,1.15,66.18,44.12,10,initial FLOOD post-processing estimate; replace assumptions before paper use
trace_conv_021,Synthetic_UNet2DCondition_trace,conv_out,conv,1 32 32 64 4 3 1 1,6246,6.64468085106383,5179,5.509574468085106,1.2060243290210466,1.15,187.38,124.92,10,initial FLOOD post-processing estimate; replace assumptions before paper use
