workload_id,operator,source_stage,shape_args,pytorchsim_cycles,flood_mac_cycles,flood_system_cycles,mac_speedup_vs_pytorchsim,system_speedup_vs_pytorchsim,latency_us_330mhz,system_latency_us_330mhz,confidence_grade,value_check_status,paper_use_policy,paper_use_reason,model_scope
person2_sd_unet_gemm_011,gemm,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,1024 64 64,1447.0,6976,28719,0.207425,0.050385,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_012,gemm,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,1024 64 512,5188.0,7242,107321,0.716377,0.048341,21.945455,325.215152,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_013,gemm,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,1024 256 64,3709.0,27328,82643,0.135722,0.04488,82.812121,250.433333,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_014,gemm,down_blocks.1.resnets.0.time_emb_proj,1 256 64,716.0,427,3130,1.676815,0.228754,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_015,gemm,mid_block.resnets.0.time_emb_proj,1 256 64,710.0,427,3130,1.662763,0.226837,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_016,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,256 64 64,895.0,1744,7687,0.513188,0.11643,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_017,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,256 64 64,848.0,1744,7687,0.486239,0.110316,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_018,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,256 64 64,873.0,1744,7687,0.500573,0.113568,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_019,gemm,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,256 64 64,920.0,1744,7687,0.527523,0.119683,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_020,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,256 64 64,891.0,1744,7687,0.510894,0.11591,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_021,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,77 768 64,1637.0,6375,24586,0.256784,0.066583,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_022,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,77 768 64,1654.0,6375,24586,0.259451,0.067274,19.318182,74.50303,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_023,gemm,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,256 64 64,879.0,1744,7687,0.504014,0.114349,5.284848,23.293939,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_024,gemm,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,256 64 512,1881.0,2010,30993,0.935821,0.060691,6.090909,93.918182,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_025,gemm,mid_block.attentions.0.transformer_blocks.0.ff.net.2,256 256 64,1430.0,6832,22649,0.209309,0.063137,20.70303,68.633333,D_observed_multicin_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known multi-Cin spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_026,gemm,mid_block.resnets.1.time_emb_proj,1 256 64,699.0,427,3130,1.637002,0.223323,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_027,gemm,up_blocks.0.resnets.0.time_emb_proj,1 256 64,671.0,427,3130,1.571429,0.214377,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_028,gemm,up_blocks.0.resnets.1.time_emb_proj,1 256 64,692.0,427,3130,1.620609,0.221086,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_029,gemm,up_blocks.1.resnets.0.time_emb_proj,1 256 64,699.0,427,3130,1.637002,0.223323,1.293939,9.484848,C_projection_small_extent_not_directly_run,missing_evidence,appendix_projection_only,calibrated projection without exact direct RTL-clean workload evidence,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
person2_sd_unet_gemm_030,gemm,up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,1024 64 64,1436.0,6976,28719,0.205849,0.050002,21.139394,87.027273,D_observed_large_spatial_x_boundary,missing_evidence,exclude_from_main_performance_tables,known large-spatial boundary; do not use as clean paper data,Base FLOOD MAC path; no sparsity/zero-skip/outlier/INT4 innovation modeled
